arch,S,auc,f1
MLC,1,0.5857881771155128,0.041440212372225706
MLC,2,0.6484829033176529,0.06613913167194815
MLC,4,0.6533548266271543,0.06339233047565439
MLC,8,0.6628259521876179,0.05408802355008753
MLC,16,0.6628068277785334,0.05408802355008753
MLC,32,0.6628046930602635,0.05408802355008753
SAE,1,0.6048951629025519,0.0
SAE,2,0.6176567827636743,0.0
SAE,4,0.6366871591087625,0.0
SAE,8,0.6548003293048682,0.0
SAE,16,0.6699520228732322,0.00072992700729927
SAE,32,0.714835779411314,0.06002384517252203
TFA,1,0.5926870578287958,0.0
TFA,2,0.6023061601087727,0.0
TFA,4,0.6202282466607768,0.0
TFA,8,0.632731262231346,0.0
TFA,16,0.6323938360547405,0.0
TFA,32,0.6368058046661138,0.0
TSAE-paper,1,0.6076677523046277,0.0
TSAE-paper,2,0.6176351195372944,0.0
TSAE-paper,4,0.6251261466558777,0.0
TSAE-paper,8,0.6426427494944849,0.0
TSAE-paper,16,0.6682126827246214,0.0
TSAE-paper,32,0.6767799721242338,0.0
TXC,1,0.5925629492000173,0.0
TXC,2,0.6436521028513675,0.0
TXC,4,0.6697067392355317,0.019167751623076563
TXC,8,0.6808759258216409,0.027272965119256077
TXC,16,0.6986404008244582,0.025528973444215397
TXC,32,0.7082824546115044,0.045503540586119995
TXC-H8,1,0.5717742079219393,0.011404627761073946
TXC-H8,2,0.5970289239206139,0.01840629392318629
TXC-H8,4,0.6159360947692868,0.024695331549587363
TXC-H8,8,0.6580318589267667,0.038701289686914095
TXC-H8,16,0.6884078414468472,0.04706307963955818
TXC-H8,32,0.7157897749853348,0.07998847940713716
